species,decimallongitude,decimallatitude
Q_douglasii,-121.99528,39.22583
Q_douglasii,-120.108,35.1025
Q_douglasii,-118.744964,35.022656
Q_douglasii,-122.33935,38.773
Q_douglasii,-122.62332,38.91997
Q_douglasii,-119.789839,34.543483
Q_douglasii,-121.21889,38.65722
Q_douglasii,-122.12083,38.36611
Q_douglasii,-121.2328696,39.20092163
Q_douglasii,-121.645851,37.03286427
Q_douglasii,-122.9369814,39.22943179
Q_douglasii,-119.980836,37.579248
Q_douglasii,-119.8509765,34.04335524
Q_douglasii,-123.1492226,39.8071941
Q_douglasii,-118.715764,34.74121505
Q_douglasii,-121.9119,37.2459
Q_douglasii,-120.053,34.748
Q_douglasii,-118.7727,34.925
Q_douglasii,-119.725,33.977
Q_douglasii,-120.7051,38.3847
Q_douglasii,-120.9341164,38.35608788
Q_douglasii,-122.8455,40.3246
Q_douglasii,-118.4341705,33.35405416
Q_douglasii,-118.44193,33.345443
Q_douglasii,-118.418627,33.349817
Q_douglasii,-118.314,33.33
Q_douglasii,-118.408885,33.33164
Q_douglasii,-120.570236,37.80745541
Q_douglasii,-119.9603198,37.64566372
Q_douglasii,-121.5014448,36.79637097
Q_douglasii,-122.5338788,38.47208336
Q_douglasii,-120.1684226,37.48296568
Q_douglasii,-121.6599923,40.10640151
Q_douglasii,-119.9969207,37.64566344
Q_douglasii,-121.9067591,37.2093581
Q_douglasii,-121.760364,37.85964473
Q_douglasii,-120.9662,36.5035
Q_douglasii,-118.8703359,36.50327613
Q_douglasii,-118.8636234,34.84163029
Q_douglasii,-121.6434948,37.3413112
Q_douglasii,-119.175,34.91667
Q_douglasii,-121.9138578,37.88162301
Q_douglasii,-121.6924264,37.38318586
Q_douglasii,-121.7678961,37.53730178
Q_douglasii,-119.8165897,35.34621998
Q_douglasii,-121.6434948,37.3413112
Q_douglasii,-120.7861168,35.79800105
Q_douglasii,-119.1818704,34.90903618
Q_douglasii,-121.99528,39.22583
Q_douglasii,-122.07389,38.51417
Q_douglasii,-118.26333,35.36611
Q_douglasii,-120.95028,38.71167
Q_douglasii,-120.65,38.45
Q_douglasii,-121.07583,38.89667
Q_douglasii,-121.02083,39.00111
Q_douglasii,-121.2973,38.4815
Q_douglasii,-121.08861,38.81611
Q_douglasii,-121.55528,39.51389
Q_douglasii,-120.6202072,35.28841549
Q_douglasii,-121.8335665,37.91744288
Q_douglasii,-119.0572677,34.92313671
Q_douglasii,-120.1477924,34.91172904
Q_douglasii,-120.3114602,35.01378809
Q_douglasii,-120.0553881,34.70163542
Q_douglasii,-120.5065081,35.59480837
Q_douglasii,-120.9204514,38.37354063
Q_douglasii,-119.8343902,35.36061947
Q_douglasii,-119.2184716,34.93733516
Q_douglasii,-121.6924264,37.38318586
Q_douglasii,-121.5275198,37.62869668
Q_douglasii,-121.9421,37.8727
Q_douglasii,-121.9474,37.8986
Q_douglasii,-118.8279597,34.65524558
Q_douglasii,-121.2879296,35.92779391
Q_douglasii,-120.0672918,35.02372663
Q_douglasii,-118.7248594,34.85664088
Q_douglasii,-120.9115196,35.79800009
Q_douglasii,-120.2272996,35.40401541
Q_douglasii,-119.1131,34.8513
Q_douglasii,-120.7560148,35.68240423
Q_douglasii,-119.8568909,35.37244899
Q_douglasii,-121.2700314,36.11528934
Q_douglasii,-120.898333,38.449167
Q_douglasii,-119.9873,34.7345
Q_douglasii,-119.9873,34.7345
Q_douglasii,-122.149167,38.491667
Q_douglasii,-120.2066,37.849
Q_douglasii,-121.7425,39.7049
Q_douglasii,-121.1322,38.8742
Q_douglasii,-118.23722,35.35944
Q_douglasii,-118.26333,35.36611
Q_douglasii,-119.2184716,34.93733516
Q_douglasii,-120.2451996,35.36061641
Q_douglasii,-123.0842,39.0014
Q_douglasii,-123.0842,39.0014
Q_douglasii,-118.1061,34.2321
Q_douglasii,-121.658333,37.341667
Q_douglasii,-118.49083,35.09556
Q_douglasii,-121.8341911,39.7383066
Q_douglasii,-118.4322,33.4191
Q_douglasii,-119.8203,35.3526
Q_douglasii,-122.8502,40.3685
Q_douglasii,-122.340653,40.70018663
Q_douglasii,-118.72,34.5939
Q_douglasii,-122.340653,40.70018663
Q_douglasii,-118.58361,35.30389
Q_douglasii,-121.483,36.2348
Q_douglasii,-121.09528,38.52333
Q_douglasii,-118.8647,34.8414
Q_douglasii,-119.774,34.546
Q_douglasii,-119.774,34.546
Q_douglasii,-118.883,34.809
Q_douglasii,-118.6056,34.7346
Q_douglasii,-118.8951,34.8742
Q_douglasii,-120.7741,38.3518
Q_douglasii,-120.7739876,38.34863533
Q_douglasii,-120.8523454,38.03204834
Q_douglasii,-120.2285,35.2019
Q_douglasii,-120.2285,35.2019
Q_douglasii,-120.2285,35.2019
Q_douglasii,-120.2285,35.2019
Q_douglasii,-120.2285,35.2019
Q_douglasii,-120.2285,35.2019
Q_douglasii,-120.2285,35.2019
Q_douglasii,-121.0011613,36.624185
Q_douglasii,-121.0011613,36.624185
Q_douglasii,-118.33528,35.14806
Q_douglasii,-121.9867,38.35667
Q_douglasii,-120.5918,38.604
Q_douglasii,-119.985,34.7438
Q_douglasii,-121.6585,37.3785
Q_douglasii,-121.0814,36.5099
Q_douglasii,-121.0011613,36.624185
Q_douglasii,-121.0011613,36.624185
Q_douglasii,-121.0011613,36.624185
Q_douglasii,-121.0011613,36.624185
Q_douglasii,-121.0011613,36.624185
Q_douglasii,-121.0011613,36.624185
Q_douglasii,-121.2131056,37.06816888
Q_douglasii,-121.0011613,36.624185
Q_douglasii,-121.2131056,37.06816888
Q_douglasii,-121.2131056,37.06816888
Q_douglasii,-121.20583,37.48833
Q_douglasii,-121.20583,37.48833
Q_douglasii,-121.20583,37.48833
Q_douglasii,-121.20583,37.48833
Q_douglasii,-121.2131056,37.06816888
Q_douglasii,-121.2131056,37.06816888
Q_douglasii,-121.2131056,37.06816888
Q_douglasii,-121.2131056,37.06816888
Q_douglasii,-121.2131056,37.06816888
Q_douglasii,-121.2131056,37.06816888
Q_douglasii,-122.1706,37.4266
Q_douglasii,-120.0784047,37.81951902
Q_douglasii,-121.019,38.9207
Q_douglasii,-118.314,33.33
Q_douglasii,-121.20583,37.48833
Q_douglasii,-121.20583,37.48833
Q_douglasii,-121.20583,37.48833
Q_douglasii,-121.20583,37.48833
Q_douglasii,-123.0842,39.0014
Q_douglasii,-121.466111,37.075833
Q_douglasii,-121.7282007,37.65736243
Q_douglasii,-121.7282007,37.65736243
Q_douglasii,-121.7282007,37.65736243
Q_douglasii,-121.7282007,37.65736243
Q_douglasii,-121.7282007,37.65736243
Q_douglasii,-121.7282007,37.65736243
Q_douglasii,-121.7282007,37.65736243
Q_douglasii,-120.9341164,38.35608788
Q_douglasii,-121.344,35.973
Q_douglasii,-121.344,35.973
Q_douglasii,-119.9785,34.5804
Q_douglasii,-118.5525,35.1309
Q_douglasii,-120.7389,36.1983
Q_douglasii,-118.4814,35.5589
Q_douglasii,-119.9887,34.7355
Q_douglasii,-119.8305,34.544
Q_douglasii,-121.941345,40.79400755
Q_douglasii,-120.721944,38.2975
Q_douglasii,-123.0886,39.8449
Q_douglasii,-122.379,38.392
Q_douglasii,-122.02194,37.26389
Q_douglasii,-122.7406,38.8073
Q_douglasii,-119.711,34.44
Q_douglasii,-119.703,34.453
Q_douglasii,-119.682,34.017
Q_douglasii,-123.0342,38.8535
Q_douglasii,-122.40563,38.56388
Q_douglasii,-122.4667,38.5036
Q_douglasii,-121.1616,36.2107
Q_douglasii,-122.1724793,38.30623182
Q_douglasii,-119.9653,37.485
Q_douglasii,-119.369722,34.958056
Q_douglasii,-121.9163,37.8293
Q_douglasii,-121.794444,39.765556
Q_douglasii,-121.0814,36.5099
Q_douglasii,-120.8166143,38.78274319
Q_douglasii,-121.9948,38.3299
Q_douglasii,-121.87361,37.6625
Q_douglasii,-120.1294,34.7255
Q_douglasii,-120.8166143,38.78274319
Q_douglasii,-122.8474,38.549
Q_douglasii,-118.46639,35.68833
Q_douglasii,-122.2576,37.4177
Q_douglasii,-121.736944,39.773611
Q_douglasii,-120.0328,35.5256
Q_douglasii,-118.4814,35.5589
Q_douglasii,-118.4814,35.5589
Q_douglasii,-120.4312,35.8899
Q_douglasii,-118.5525,35.1309
Q_douglasii,-118.5525,35.1309
Q_douglasii,-118.9173316,36.46967458
Q_douglasii,-122.4551,38.5514
Q_douglasii,-122.80254,38.99961
Q_douglasii,-121.3333523,39.22025644
Q_douglasii,-121.4208339,39.19357022
Q_douglasii,-121.564167,39.603056
Q_douglasii,-122.186,40.186
Q_douglasii,-121.3078,36.0603
Q_douglasii,-121.2338293,36.00539237
Q_douglasii,-120.92389,38.31667
Q_douglasii,-120.5029,37.8827
Q_douglasii,-120.5029,37.8827
Q_douglasii,-119.706,34.445
Q_douglasii,-120.6967,35.4904
Q_douglasii,-122.4667,38.5036
Q_douglasii,-121.9138578,37.88162301
Q_douglasii,-123.118122,39.11825341
Q_douglasii,-121.9138578,37.88162301
Q_douglasii,-122.1724793,38.30623182
Q_douglasii,-122.1724793,38.30623182
Q_douglasii,-122.1724793,38.30623182
Q_douglasii,-121.9948,38.3299
Q_douglasii,-120.7575823,38.27548598
Q_douglasii,-119.1531,34.8967
Q_douglasii,-121.0748,38.9883
Q_douglasii,-120.7628724,38.73027467
Q_douglasii,-119.416667,36.958333
Q_douglasii,-122.81528,38.54722
Q_douglasii,-122.93528,39.2825
Q_douglasii,-121.93194,37.88861
Q_douglasii,-122.4596,38.5646
Q_douglasii,-122.4596,38.5646
Q_douglasii,-122.4596,38.5646
Q_douglasii,-122.4596,38.5646
Q_douglasii,-122.4596,38.5646
Q_douglasii,-122.81528,38.54722
Q_douglasii,-122.2649,40.2602
Q_douglasii,-120.988278,35.764306
Q_douglasii,-119.8509765,34.04335524
Q_douglasii,-119.816,34.012
Q_douglasii,-119.4489,36.7315
Q_douglasii,-118.8686,34.8439
Q_douglasii,-118.8686,34.8439
Q_douglasii,-118.8686,34.8439
Q_douglasii,-121.6585,37.3785
Q_douglasii,-122.3953,39.0229
Q_douglasii,-119.7897,34.5433
Q_douglasii,-119.8807,37.4624
Q_douglasii,-118.4288,35.7314
Q_douglasii,-118.4186,33.3498
Q_douglasii,-122.2256988,37.40831398
Q_douglasii,-120.7573,36.7445
Q_douglasii,-118.4512,33.3923
Q_douglasii,-118.7216,34.5985
Q_douglasii,-119.5131,37.0375
Q_douglasii,-118.8283,35.4673
Q_douglasii,-120.7573,36.7445
Q_douglasii,-122.047222,40.101944
Q_douglasii,-120.360506,36.1409357
Q_douglasii,-121.1754,36.5033
Q_douglasii,-120.0873,37.4377
Q_douglasii,-121.4161,41.125
Q_douglasii,-122.3953,39.0229
Q_douglasii,-118.5892,35.6513
Q_douglasii,-118.4982,35.5985
Q_douglasii,-121.4037,36.8538
Q_douglasii,-121.6058517,37.55991258
Q_douglasii,-123.248108,39.74755934
Q_douglasii,-120.4358,34.6819
Q_douglasii,-120.4358,34.6819
Q_douglasii,-120.481667,36.088611
Q_douglasii,-120.465833,36.098889
Q_douglasii,-120.481667,36.088611
Q_douglasii,-121.788333,38.186389
Q_douglasii,-120.9104,36.4591
Q_douglasii,-121.4356,36.1054
Q_douglasii,-120.4375,37.808333
Q_douglasii,-119.0494,36.6137
Q_douglasii,-120.0179,34.7832
Q_douglasii,-119.1764,34.9283
Q_douglasii,-122.2025,38.3766
Q_douglasii,-120.0619,34.7416
Q_douglasii,-122.16917,37.42722
Q_douglasii,-122.305833,40.112222
Q_douglasii,-123.199,39.1506
Q_douglasii,-122.7808,38.9399
Q_douglasii,-121.6429,37.3416
Q_douglasii,-121.55,39.583333
Q_douglasii,-122.1736,37.425
Q_douglasii,-121.489716,39.36472
Q_douglasii,-121.270763,38.63983235
Q_douglasii,-121.270763,38.63983235
Q_douglasii,-118.903,36.5696
Q_douglasii,-121.869222,40.43398411
Q_douglasii,-122.86806,38.61056
Q_douglasii,-122.1724793,38.30623182
Q_douglasii,-118.903,36.5696
Q_douglasii,-118.4801722,36.54510003
Q_douglasii,-120.9816,38.5629
Q_douglasii,-122.3119,38.52
Q_douglasii,-120.5601,38.7623
Q_douglasii,-119.1308,36.7525
Q_douglasii,-121.322,36.2088
Q_douglasii,-122.0567,37.9074
Q_douglasii,-121.6574984,37.6032252
Q_douglasii,-120.416667,34.666667
Q_douglasii,-118.8741723,34.80128329
Q_douglasii,-120.1581,38.4044
Q_douglasii,-121.5847125,39.53747538
Q_douglasii,-122.71,38.8102
Q_douglasii,-119.975,34.72833
Q_douglasii,-119.5997,34.0127
Q_douglasii,-122.3378,38.5402
Q_douglasii,-121.216667,38.883333
Q_douglasii,-118.2875,35.1893
Q_douglasii,-118.2875,35.1893
Q_douglasii,-122.2814,40.3522
Q_douglasii,-118.8767,34.8475
Q_douglasii,-122.308333,40.661389
Q_douglasii,-120.85778,38.46
Q_douglasii,-123.0842,39.0014
Q_douglasii,-121.5318,40.9835
Q_douglasii,-119.6153,34.6434
Q_douglasii,-123.0889483,38.90085896
Q_douglasii,-122.2414,40.1793
Q_douglasii,-122.4119,38.5609
Q_douglasii,-123.0886,39.8449
Q_douglasii,-121.78216,39.22895
Q_douglasii,-123.1341,39.8137
Q_douglasii,-123.1577,39.6843
